Movie Title,Year,Score,Directors,Cast,Consensus
Dark Winds,2022,100,"Chris Eyre, George R.R. Martin, Graham Roland, Robert Redford","Zahn McClarnon, Kiowa Gordon, Jessica Matten, Deanna Allison","Set in 1971 on a remote outpost of the Navajo Nation near Monument Valley, Dark Winds follows Lieutenant Joe Leaphorn..."
Blood of Zeus,2020,100,"Charley Parlapanides, Vlas Parlapanides","Derek Phillips, Jason O'Mara, Mamie Gummer, Chris Diamantopoulos","Chronicles the illegitimate son of Zeus, a young man tasked with saving heaven and earth despite the interference of a..."
Mo,2022,100,"Mohammed Amer, Ramy Youssef, Ravi Nandan, Hallie Sekoff","Mohammed Amer, Teresa Ruiz, Farah Bsieso, Omar Elba","Mo Najjar straddles the line between two cultures, three languages and a ton of foolishness as a Palestinian refugee constantly..."
The Dragon Prince,2018,100,Giancarlo Volpe,"Jack De Sena, Paula Burrows, Sasha Zoey Rojen","In the magical land of Xadia, magic comes from six primal sources: the sun, moon, stars, sky, earth and ocean...."
Arcane: League of Legends,2021,100,"Brandon Beck, Marc Merrill, Nicolo Laurent, Jane Chung","Hailee Steinfeld, Katie Leung, Kevin Alejandro, Jason Spisak","The origins of two League champions, set in the utopian Piltover and the oppressed underground of Zaun...."
Supacell,2024,100,"Mouktar Mohammed, Anna Ferguson, Steve Searle","Tosin Cole, Adelayo Adedayo, Nadine Mills, Eric Kofi-Abrefa","In South London, a group of normal people suddenly develop superpowers, and the only apparent connection between them is that..."
Carol & the End of the World,2023,100,"Dan Guterman, Donick Cary","Martha Kelly, Beth Grant, Lawrence Pressman, Kimberly Hebert Gregory","With a planet hurtling towards Earth, extinction is imminent for humans; while most feel liberated to pursue their wildest dreams,..."
Pokémon Concierge,2023,100,Iku Ogawa,"Non, Ai Fairouz, Eita Okuno, Yoshiko Takemura","With the help of concierge Haru, Pokémon relax and have fun at the Pokémon Resort...."
Red Rose,2022,100,"Ramón Salazar, Joel Wilson, Michael Clarkson, Paul Clarkson","Amelia Clarkson, Isis Hainsworth, Natalie Blair, Ellis Howard",Teens must survive a summer of terror after downloading a mysterious app called Red Rose. that makes dangerous demands with...
Cyberpunk: Edgerunners,2022,100,"Rafal Jaki, Hiroyuki Imaishi","Aoi Yuki, Kenn, Kazuhiko Inoue, Kenjiro Tsuda","A street kid tries to survive in a technology and body modification-obsessed city of the future; with everything to lose,..."
Katla,2021,100,"Sigurjón Kjartansson, Baltasar Kormákur","Guðrún Ýr Eyfjörð, Aliette Opheim, Björn Thors, Guðrún Gísladóttir",The catastrophic eruption of sub-glacial volcano Katla turns a nearby community's world upside down as mysteries begin to emerge from...
Derry Girls,2018,99,"Michael Lennox, Caroline Leddy","Saoirse-Monica Jackson, Louisa Harland, Ian McElhinney, Kathy Kiera Clarke","Set against the backdrop of the Northern Ireland Troubles, this comedy series follows a group of friends as they navigate..."
Baby Reindeer,2024,99,"Weronika Tofilska, Josephine Bornebusch, Richard Gadd, Petra Fried","Richard Gadd, Jessica Gunning, Nava Mau, Tom Goodman-Hill","Dealing with a female stalker, a man is forced to face a dark, buried trauma...."
Better Call Saul,2015,98,"Vince Gilligan, Peter Gould, Mark Johnson, Melissa Bernstein","Bob Odenkirk, Jonathan Banks, Michael Mando, Patrick Fabian","He wasn't always Saul Goodman, ace attorney for chemist-turned-meth dealer Walter White. Six years before he begins to represent Albuquerque's..."
Heartstopper,2022,98,"Euros Lyn, Iain Canning, Nicky Earnshaw, Hakan Kousetta","Kit Connor, Joe Locke, William Gao, Yasmin Finney",Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love....
Beef,2023,98,"Lee Sung-jin, Ali Wong, Steven Yeun, Jake Schreier","Steven Yeun, Ali Wong, Joseph Lee, Young Mazino",Two strangers get into a road rage incident that brings chaos into their lives....
Lupin,2021,98,"Louis Leterrier, Marcela Said, Ludovic Bernard, Hugo Gélin","Omar Sy, Ludivine Sagnier, Antoine Gouy, Soufiane Guerrab","A retelling of the classic French story about Arsène Lupin, the world-famous gentleman thief and master of disguise...."
Kingdom,2019,98,"Kim Seong-hun, In-je Park","Bae Doo-na, Ju Ji-hoon, Ryu Seung-ryong, Kim Sang-ho",The deceased king rises and a mysterious plague begins to spread; the prince must face a new breed of enemies...
